feature,mutual_info,rf_importance,mutual_info_norm,rf_importance_norm,combined_score
std_delta_delta_log_energy,0.11517408450078293,0.017466908119939107,1.0,1.0,1.0
std_delta_log_energy,0.10467133507756321,0.016848479850553648,0.9088097859102295,0.96459429080757,0.9367020383588998
std_6th_delta_delta,0.10631625379328447,0.011018347968680113,0.9230918071032008,0.6308127284474733,0.7769522677753371
tqwt_entropy_log_dec_12,0.10678038219059038,0.00959886089944797,0.9271216059882336,0.549545508199618,0.7383335570939258
std_8th_delta_delta,0.11430413936807127,0.007025195366802012,0.9924466937464066,0.4022002817305999,0.6973234877385033
tqwt_TKEO_std_dec_13,0.11097721895680501,0.007331050439104807,0.9635606780625255,0.41971082625299594,0.6916357521577607
std_9th_delta_delta,0.08864489780128526,0.010342239385775751,0.7696601035338178,0.5921047568785063,0.680882430206162
tqwt_TKEO_mean_dec_12,0.09645136663940024,0.00862673863489708,0.8374398377678842,0.49389042271593253,0.6656651302419083
std_7th_delta_delta,0.0972244299305276,0.008313637799133097,0.8441519665812207,0.4759650501420328,0.6600585083616267
std_6th_delta,0.09346909244649093,0.00882279510862851,0.8115462159011609,0.505114874827616,0.6583305453643884
mean_MFCC_2nd_coef,0.10415172869879918,0.006429746520157481,0.904298298964045,0.3681101701575732,0.6362042345608091
tqwt_entropy_shannon_dec_13,0.0997719284351739,0.00607342494228427,0.8662706447169171,0.34771036182134807,0.6069905032691325
tqwt_minValue_dec_13,0.08782721562758211,0.007747646451460841,0.7625605708807269,0.4435614132885157,0.6030609920846213
tqwt_TKEO_mean_dec_13,0.10467296098855661,0.004878923410638081,0.9088239028967064,0.27932381490394476,0.5940738589003256
tqwt_stdValue_dec_12,0.0877427199970795,0.007437647507974852,0.7618269368269478,0.42581362751227325,0.5938202821696106
rapJitter,0.11349946500394315,0.0035008539007581807,0.9854601015141701,0.20042779619146386,0.592943948852817
std_8th_delta,0.09299402719412697,0.006467538613094489,0.8074214576760523,0.370273809691113,0.5888476336835826
tqwt_entropy_log_dec_16,0.09709500408170335,0.005378590216131745,0.8430282255123401,0.3079302976347537,0.5754792615735469
tqwt_entropy_log_dec_13,0.07121923048406131,0.009282532131157515,0.6183615940405168,0.5314353328830516,0.5748984634617842
tqwt_entropy_log_dec_35,0.0981675321622062,0.005180715939156725,0.8523404599889732,0.2966017742569305,0.5744711171229518
tqwt_stdValue_dec_13,0.09158563370531314,0.006058766924214051,0.7951930688425881,0.34687117391415995,0.571032121378374
tqwt_TKEO_std_dec_12,0.08911693801132681,0.005702079005341021,0.7737585968023997,0.3264503921465008,0.5501044944744502
tqwt_energy_dec_27,0.08418478771195059,0.006440617174748781,0.7309351585197825,0.3687325272751955,0.549833842897489
std_7th_delta,0.0656664225959891,0.009199477952342307,0.5701492907941691,0.5266803883762788,0.548414839585224
minIntensity,0.1007408799508227,0.0038570854380097224,0.8746835747597186,0.22082244960152506,0.5477530121806218
tqwt_energy_dec_26,0.0956996649394577,0.004146997014467564,0.830913181157582,0.2374202111782804,0.5341666961679312
tqwt_kurtosisValue_dec_18,0.08036835682794052,0.006169515483853081,0.697798963858004,0.3532116526570811,0.5255053082575425
apq11Shimmer,0.09823428489099029,0.00335442251907203,0.8529200411427843,0.19204443602945592,0.5224822385861201
tqwt_entropy_log_dec_11,0.0950860987439679,0.0034721627219110435,0.8255858872776325,0.19878519415508028,0.5121855407163564
tqwt_maxValue_dec_12,0.09693177821523591,0.003106054084666572,0.841611015493481,0.17782506573793097,0.509718040615706
tqwt_entropy_shannon_dec_12,0.0761887382116293,0.006186932347992285,0.6615093885214377,0.35420878758328606,0.5078590880523619
std_10th_delta_delta,0.06514954636405257,0.007418858703487218,0.5656615083717874,0.4247379474686949,0.49519972792024114
tqwt_medianValue_dec_8,0.10974381023240487,0.00046159562430735346,0.9528515959825915,0.02642686508326138,0.48963923053292646
tqwt_entropy_shannon_dec_14,0.0964647245624739,0.0018846650511471377,0.8375558180522646,0.10789917930556493,0.4727274986789148
tqwt_TKEO_mean_dec_16,0.08957814510176965,0.002816690118637835,0.7777630314149423,0.16125865546991006,0.46951084344242616
tqwt_medianValue_dec_26,0.10406597954270036,0.0005223345849375048,0.9035537811632698,0.029904238423355593,0.46672900979331267
tqwt_entropy_log_dec_27,0.07518889442106524,0.004686075544372517,0.6528282360304252,0.26828305915362277,0.46055564759202394
tqwt_TKEO_std_dec_7,0.07874630650816128,0.004025867173112401,0.6837154977136023,0.2304853924614585,0.4571004450875304
tqwt_stdValue_dec_15,0.09342188865576406,0.0017778837718775728,0.8111363685736873,0.10178583179515636,0.4564611001844218
locAbsJitter,0.08411851114072522,0.0029902344064887806,0.730359711608156,0.17119425979434333,0.4507769857012497
